student_id,snippet_id,read_time,log_read_time
0,1,23,3.1354942159291497
0,2,60,4.0943445622221
0,3,40,3.6888794541139363
0,4,33,3.4965075614664802
0,5,50,3.912023005428146
0,6,19,2.9444389791664403
0,7,13,2.5649493574615367
0,8,79,4.3694478524670215
1,1,3,1.0986122886681098
1,2,16,2.772588722239781
1,3,73,4.290459441148391
1,4,18,2.8903717578961645
1,5,9,2.1972245773362196
1,6,0,
1,7,84,4.430816798843313
1,8,35,3.5553480614894135
2,1,7,1.9459101490553132
2,2,32,3.4657359027997265
2,3,58,4.060443010546419
2,4,36,3.58351893845611
2,5,56,4.02535169073515
2,6,74,4.30406509320417
2,7,5,1.6094379124341003
2,8,66,4.189654742026425
3,1,6,1.791759469228055
3,2,69,4.23410650459726
3,3,23,3.1354942159291497
3,4,48,3.871201010907891
3,5,87,4.465908118654584
3,6,24,3.1780538303479458
3,7,74,4.30406509320417
3,8,25,3.2188758248682006
4,1,53,3.970291913552122
4,2,77,4.343805421853684
4,3,205,5.3230099791384085
4,4,127,4.844187086458591
4,5,100,4.605170185988092
4,6,103,4.634728988229636
4,7,37,3.6109179126442243
4,8,107,4.672828834461906
5,1,38,3.6375861597263857
5,2,32,3.4657359027997265
5,3,54,3.9889840465642745
5,4,120,4.787491742782046
5,5,83,4.418840607796598
5,6,109,4.6913478822291435
5,7,69,4.23410650459726
5,8,60,4.0943445622221
6,1,16,2.772588722239781
6,2,31,3.4339872044851463
6,3,80,4.382026634673881
6,4,35,3.5553480614894135
6,5,39,3.6635616461296463
6,6,64,4.1588830833596715
6,7,26,3.258096538021482
6,8,62,4.127134385045092
7,1,56,4.02535169073515
7,2,85,4.442651256490317
7,3,342,5.834810737062605
7,4,182,5.204006687076795
7,5,140,4.941642422609304
7,6,117,4.762173934797756
7,7,55,4.007333185232471
7,8,64,4.1588830833596715
8,1,18,2.8903717578961645
8,2,145,4.976733742420574
8,3,127,4.844187086458591
8,4,107,4.672828834461906
8,5,44,3.784189633918261
8,6,48,3.871201010907891
8,7,39,3.6635616461296463
8,8,27,3.295836866004329
9,1,43,3.7612001156935624
9,2,60,4.0943445622221
9,3,114,4.736198448394496
9,4,162,5.087596335232384
9,5,65,4.174387269895637
9,6,70,4.248495242049359
9,7,59,4.07753744390572
9,8,106,4.663439094112067
10,1,40,3.6888794541139363
10,2,49,3.8918202981106265
10,3,174,5.159055299214529
10,4,145,4.976733742420574
10,5,121,4.795790545596741
10,6,292,5.676753802268282
10,7,154,5.0369526024136295
10,8,179,5.187385805840755
11,1,51,3.9318256327243257
11,2,18,2.8903717578961645
11,3,88,4.477336814478207
11,4,89,4.48863636973214
11,5,72,4.276666119016055
11,6,100,4.605170185988092
11,7,32,3.4657359027997265
11,8,26,3.258096538021482
12,1,40,3.6888794541139363
12,2,41,3.713572066704308
12,3,219,5.389071729816501
12,4,141,4.948759890378168
12,5,161,5.081404364984463
12,6,161,5.081404364984463
12,7,130,4.867534450455582
12,8,128,4.852030263919617
13,1,35,3.5553480614894135
13,2,74,4.30406509320417
13,3,43,3.7612001156935624
13,4,58,4.060443010546419
13,5,43,3.7612001156935624
13,6,29,3.367295829986474
13,7,45,3.8066624897703196
13,8,94,4.543294782270004
14,1,52,3.9512437185814275
14,2,105,4.653960350157523
14,3,268,5.5909869805108565
14,4,106,4.663439094112067
14,5,197,5.2832037287379885
14,6,214,5.365976015021851
14,7,122,4.804021044733257
14,8,192,5.2574953720277815
15,1,8,2.0794415416798357
15,2,9,2.1972245773362196
15,3,33,3.4965075614664802
15,4,11,2.3978952727983707
15,5,68,4.219507705176107
15,6,11,2.3978952727983707
15,7,63,4.143134726391533
15,8,25,3.2188758248682006
16,1,33,3.4965075614664802
16,2,62,4.127134385045092
16,3,105,4.653960350157523
16,4,14,2.6390573296152584
16,5,16,2.772588722239781
16,6,96,4.564348191467836
16,7,40,3.6888794541139363
16,8,98,4.584967478670572
17,1,59,4.07753744390572
17,2,48,3.871201010907891
17,3,93,4.532599493153256
17,4,140,4.941642422609304
17,5,63,4.143134726391533
17,6,135,4.90527477843843
17,7,51,3.9318256327243257
17,8,48,3.871201010907891
18,1,5,1.6094379124341003
18,2,4,1.3862943611198906
18,3,12,2.4849066497880004
18,4,3,1.0986122886681098
18,5,10,2.302585092994046
18,6,12,2.4849066497880004
18,7,15,2.70805020110221
18,8,3,1.0986122886681098
19,1,39,3.6635616461296463
19,2,85,4.442651256490317
19,3,49,3.8918202981106265
19,4,62,4.127134385045092
19,5,133,4.890349128221754
19,6,119,4.77912349311153
19,7,47,3.8501476017100584
19,8,92,4.5217885770490405
20,1,37,3.6109179126442243
20,2,21,3.044522437723423
20,3,66,4.189654742026425
20,4,38,3.6375861597263857
20,5,52,3.9512437185814275
20,6,72,4.276666119016055
20,7,59,4.07753744390572
20,8,55,4.007333185232471
21,1,30,3.4011973816621555
21,2,28,3.332204510175204
21,3,103,4.634728988229636
21,4,145,4.976733742420574
21,5,157,5.056245805348308
21,6,96,4.564348191467836
21,7,101,4.61512051684126
21,8,48,3.871201010907891
22,1,52,3.9512437185814275
22,2,68,4.219507705176107
22,3,70,4.248495242049359
22,4,108,4.68213122712422
22,5,86,4.454347296253507
22,6,146,4.983606621708336
22,7,56,4.02535169073515
22,8,39,3.6635616461296463
23,1,22,3.091042453358316
23,2,26,3.258096538021482
23,3,66,4.189654742026425
23,4,11,2.3978952727983707
23,5,54,3.9889840465642745
23,6,45,3.8066624897703196
23,7,50,3.912023005428146
23,8,162,5.087596335232384
24,1,103,4.634728988229636
24,2,75,4.31748811353631
24,3,52,3.9512437185814275
24,4,156,5.049856007249537
24,5,146,4.983606621708336
24,6,221,5.3981627015177525
24,7,206,5.327876168789581
24,8,526,6.26530121273771
25,1,47,3.8501476017100584
25,2,64,4.1588830833596715
25,3,65,4.174387269895637
25,4,150,5.0106352940962555
25,5,111,4.709530201312334
25,6,97,4.574710978503383
25,7,75,4.31748811353631
25,8,45,3.8066624897703196
26,1,386,5.955837369464831
26,2,198,5.288267030694535
26,3,14,2.6390573296152584
26,4,193,5.262690188904886
26,5,162,5.087596335232384
26,6,89,4.48863636973214
26,7,150,5.0106352940962555
26,8,16,2.772588722239781
27,1,10,2.302585092994046
27,2,5,1.6094379124341003
27,3,28,3.332204510175204
27,4,8,2.0794415416798357
27,5,43,3.7612001156935624
27,6,16,2.772588722239781
27,7,5,1.6094379124341003
27,8,12,2.4849066497880004
28,1,28,3.332204510175204
28,2,119,4.77912349311153
28,3,136,4.912654885736052
28,4,76,4.330733340286331
28,5,74,4.30406509320417
28,6,129,4.859812404361672
28,7,85,4.442651256490317
28,8,66,4.189654742026425
29,1,91,4.51085950651685
29,2,103,4.634728988229636
29,3,24,3.1780538303479458
29,4,223,5.407171771460119
29,5,71,4.2626798770413155
29,6,124,4.820281565605037
29,7,60,4.0943445622221
29,8,51,3.9318256327243257
30,1,37,3.6109179126442243
30,2,17,2.833213344056216
30,3,68,4.219507705176107
30,4,12,2.4849066497880004
30,5,15,2.70805020110221
30,6,40,3.6888794541139363
30,7,9,2.1972245773362196
30,8,14,2.6390573296152584
31,1,19,2.9444389791664403
31,2,26,3.258096538021482
31,3,15,2.70805020110221
31,4,40,3.6888794541139363
31,5,68,4.219507705176107
31,6,25,3.2188758248682006
31,7,34,3.5263605246161616
31,8,53,3.970291913552122
32,1,90,4.499809670330265
32,2,107,4.672828834461906
32,3,218,5.384495062789089
32,4,110,4.700480365792417
32,5,131,4.875197323201151
32,6,251,5.5254529391317835
32,7,68,4.219507705176107
32,8,146,4.983606621708336
33,1,64,4.1588830833596715
33,2,29,3.367295829986474
33,3,140,4.941642422609304
33,4,62,4.127134385045092
33,5,125,4.8283137373023015
33,6,61,4.110873864173311
33,7,67,4.204692619390966
33,8,87,4.465908118654584
34,1,77,4.343805421853684
34,2,95,4.553876891600541
34,3,116,4.7535901911063645
34,4,80,4.382026634673881
34,5,114,4.736198448394496
34,6,110,4.700480365792417
34,7,88,4.477336814478207
34,8,117,4.762173934797756
35,1,53,3.970291913552122
35,2,259,5.556828061699537
35,3,381,5.942799375126701
35,4,104,4.6443908991413725
35,5,242,5.488937726156687
35,6,223,5.407171771460119
35,7,138,4.927253685157205
35,8,202,5.308267697401205
36,1,19,2.9444389791664403
36,2,43,3.7612001156935624
36,3,133,4.890349128221754
36,4,22,3.091042453358316
36,5,13,2.5649493574615367
36,6,31,3.4339872044851463
36,7,86,4.454347296253507
36,8,10,2.302585092994046
